,playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_added_at,track_popularity,track_preview_url,track_open_spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
11,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,Welcome to the Black Parade,7dN52YlyGl6c9tmxdv6zMp,My Chemical Romance,The Black Parade / Living with Ghosts (The 10th Anniversary Edition),https://i.scdn.co/image/63ccb1d352727d24eb3fc4611d2d22c0a949e8a7,2018-06-19 20:57:28,60,https://p.scdn.co/mp3-preview/0c19f3a680ff92f9d38a34b3310e6ff1a661ab1e?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/7dN52YlyGl6c9tmxdv6zMp,0.217,0.905,D,-4.103,major,0.0752,0.000289,0.00011,0.222,0.236,96.95,311107,4,D major
12,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,Still Waiting,4rLKjYqJjLU0Odg52kGL2O,Sum 41,Does This Look Infected?,https://i.scdn.co/image/3a4bbf138ae18a7c3420e4f58387426b11fec287,2018-06-19 20:57:28,49,https://p.scdn.co/mp3-preview/8f2417e3adcc1bef9027ab9c59492f47be67cc71?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/4rLKjYqJjLU0Odg52kGL2O,0.42,0.952,G,-4.93,major,0.257,0.00115,5.72E-05,0.294,0.511,191.977,158733,4,G major
13,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,Dirty Little Secret,5lDriBxJd22IhOH9zTcFrV,The All-American Rejects,Move Along,https://i.scdn.co/image/c901ac12eeb5df68ac267eef20cc045e741927f2,2018-06-19 20:57:28,68,NA,https://open.spotify.com/track/5lDriBxJd22IhOH9zTcFrV,0.453,0.942,A#,-4.256,major,0.0466,0.0004,2.65E-06,0.667,0.457,143.85,193653,4,A# major
14,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,The Anthem,0BRHnOFm6sjxN1i9LJrUDu,Good Charlotte,The Young and The Hopeless,https://i.scdn.co/image/6655d99168e1091d9ba5ea8caa740ae17db58c30,2018-06-19 20:57:28,71,https://p.scdn.co/mp3-preview/37bf3c2518b7d23df6df45e7d17a38dc313e8cae?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/0BRHnOFm6sjxN1i9LJrUDu,0.494,0.939,C#,-3.127,major,0.126,0.00666,0,0.139,0.893,177.751,175093,4,C# major
15,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,Ignorance,47No93LxERvV6MtOAmQzHS,Paramore,brand new eyes,https://i.scdn.co/image/4f0396064baeb8a83ea109cfd4239781a43555eb,2018-06-19 20:57:28,67,https://p.scdn.co/mp3-preview/472a4b28533e319d93fba97e8dc6a349488fc9e1?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/47No93LxERvV6MtOAmQzHS,0.522,0.964,B,-2.645,minor,0.095,0.00109,0.000389,0.0387,0.51,170.944,218627,4,B minor
16,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,First Date,1fJFuvU2ldmeAm5nFIHcPP,blink-182,Take Off Your Pants And Jacket,https://i.scdn.co/image/e793a66e7b874fe926e701701511922b02c15021,2018-06-19 20:57:28,71,NA,https://open.spotify.com/track/1fJFuvU2ldmeAm5nFIHcPP,0.579,0.928,C,-4.344,major,0.0411,0.000715,0,0.18,0.882,95.594,171533,4,C major
17,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,"This Ain't A Scene, It's An Arms Race",4c7xQ7OsqL6W4RwEQmID7g,Fall Out Boy,Infinity On High,https://i.scdn.co/image/2c832894cfa5c9861b7837150d78c30fd8ad790b,2018-06-19 20:57:28,54,NA,https://open.spotify.com/track/4c7xQ7OsqL6W4RwEQmID7g,0.606,0.888,A,-3.994,major,0.0385,0.000633,0,0.0443,0.448,100.031,212040,4,A major
18,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,Lying Is The Most Fun A Girl Can Have Without Taking Her Clothes Off,7wOmQJeVX6qjNXqqsKOkPx,Panic! At The Disco,A Fever You Can't Sweat Out (International Release),https://i.scdn.co/image/6f1aa2add0dea7c5f364ef21a1e0f879c8dae848,2018-06-19 20:57:28,58,https://p.scdn.co/mp3-preview/97a3af44edbcbd780ac66a3c4c5060a1288e0daa?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/7wOmQJeVX6qjNXqqsKOkPx,0.66,0.799,G#,-4.644,major,0.0995,0.106,0,0.154,0.475,125.966,200227,4,G# major
19,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,Ocean Avenue,23oxJmDc1V9uLUSmN2LIvx,Yellowcard,Ocean Avenue,https://i.scdn.co/image/961342c3732dd32d5a93b343345f9bdd1b16bf62,2018-06-19 20:57:28,71,NA,https://open.spotify.com/track/23oxJmDc1V9uLUSmN2LIvx,0.486,0.904,F#,-3.751,minor,0.0638,3.43E-05,2.83E-05,0.0947,0.786,173.734,198267,4,F# minor
20,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,My Own Worst Enemy,33iv3wnGMrrDugd7GBso1z,Lit,A Place In The Sun,https://i.scdn.co/image/30cfe67f0ba70692cf6eb2e684f6a99c895a3116,2018-06-19 20:57:28,71,https://p.scdn.co/mp3-preview/f8f93d9a3b0fd641993769cd9bb9078c01ac28e7?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/33iv3wnGMrrDugd7GBso1z,0.494,0.946,E,-2.757,major,0.0637,0.00129,0,0.398,0.741,103.408,169027,4,E major
21,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,"Check Yes, Juliet",0wVluBsVAVzBKrqspuCcwR,We The Kings,We The Kings,https://i.scdn.co/image/729e71d21d8eec244a418c256709e8281ba4a532,2018-06-19 20:57:28,67,https://p.scdn.co/mp3-preview/068cad9417f07f6c3b00c0c0a8993e737dca4ad5?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/0wVluBsVAVzBKrqspuCcwR,0.352,0.912,G,-4.253,major,0.0725,0.00197,0,0.193,0.351,166.795,220147,4,G major
22,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,In Too Deep,3u7EIgAlwNQtxkM4bOA7uI,Sum 41,All Killer No Filler,https://i.scdn.co/image/962fbd42401b9efcb5fed3761df2956fe0a1b6b9,2018-06-19 20:57:28,51,https://p.scdn.co/mp3-preview/b2ee2d88fea8350b88a9d50ac780265ca179433d?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/3u7EIgAlwNQtxkM4bOA7uI,0.568,0.836,A,-6.047,major,0.05,0.000171,0,0.0613,0.779,116.029,207120,4,A major
